Question,A,B,C,D,Correct,Explanation,HosPricingtality,Assessment,Difficulty
"Hazel is organizing her company's unpaid invoices. She orders them by date, starting with the earliest unpaid invoice and ending with the most recent. Hazel is organizing the invoices",by order of importance.,chronologically.,geographically.,deductively.,B,"Chronologically. Chronological order is a way of organizing that puts information in sequence according to time. When Hazel organizes her company's invoices from the earliest date to the most recent, she is organizing them chronologically. The invoices are not organized by order of importance or geographically. Deductive organizing begins with a general recommendation or statement, then includes information that backs it up. from https://smallbusiness.chron.com/examples-methods-organization-18982.html",Communication Skills,1,medium
Which of the following is an example of a simple report that businesspeople write:,Customer survey,Marketing plan,Instruction manual,Weekly status report,D,"Weekly status report. Simple reports are typically short and provide basic information. A weekly status report that provides details about work completed on a project is an example of a simple report. A marketing plan, which is a blueprint of a business's marketing activities, is a longer, more complex document. An instruction manual and a customer survey are not types of reports. https://blog.weekdone.com/purpose-of-weekly-status-reports/",Communication Skills,1,easy
"Rather than insisting that every company employee use the same method to introduce customers to the business's newest products, each employee can choose their own way to talk to customers about these products. As a result, some customers view the products favorably while others fail to recognize any benefits offered by those products. Which of the following customer service challenges is the company failing to meet:",Delivering consistent service,Training a diverse workforce,Accommodating special needs,Providing career advancement,A,"Delivering consistent service. Since employees use a variety of different methods to introduce new products to customers, they are not delivering consistent service. Different customers develop very different opinions of those products, depending on which employees help them. There's no indication that the company's employees come from a diverse background, have special needs, or are not provided with career advancement opportunities. IL: Goodheart-Willcox.",Customer Relations,1,easy
An effective way to resolve customer complaints in the hospitality and tourism industry is to,be aware of common triggers of conflict.,understand what guests truly want.,maintain an authoritative attitude.,escalate conflict to upper management.,B,"Understand what guests truly want. In the hospitality and tourism industry, understanding what is truly driving customers' complaints is essential. When you understand what guests want, you can easily fulfill their needs and resolve conflict. Being aware of common triggers of conflict can help prevent conflict rather than resolve it. Hospitality and tourism employees should maintain a positive attitude rather than an authoritative attitude. Finally, hospitality and tourism employees do not necessarily need to escalate conflict to upper management. bad online reviews. Retrieved August 13, 2021, from https://www.hospitalitynet.org/opinion/4070802.html",Customer Relations,1,medium
Employees can reinforce their company's positive image by,delivering on the company's brand promise.,developing a broad product/service mix.,sharing its intellectual property with competitors.,advocating prestige pricing and price skimming.,A,"Delivering on the company's brand promise. A brand promise is a business's agreement (spoken or unspoken) with customers that it will consistently meet their expectations and deliver on its brand characteristics and values. By delivering on their company's brand promise, employees can reinforce the company's positive image among customers. These employees become brand ambassadors, communicating the company's vision, mission, and brand through their actions and words, both on the job and off. Developing a broad product/service mix does not necessarily reinforce the company's positive image. Betraying a company by sharing its intellectual property with competitors does nothing to reinforce the company's positive image. Prestige pricing and price skimming do not reinforce a company's positive image in every case. promise? Retrieved August 12, 2021, from https://thriveglobal.com/stories/how-to-engageyour-employees-to-deliver-your-brand-promise/",Customer Relations,2,easy
Good service is especially important in the hospitality and tourism industry because success relies upon,high-end products.,return customers.,smart sales strategies.,networking efforts.,B,"Return customers. When customers spend money on food, lodging, and travel, they expect an all-around positive customer experience. Poor service is one of the most common reasons that an individual does not return to a hospitality/tourism business. Return customers provide a significant amount of revenue for a hospitality business, so it is important to exceed customer expectations when it comes to service. The success of a hospitality/tourism business does not necessarily rely on high-end products, smart sales strategies, or networking efforts. Goodheart-Willcox Company, Inc.",Customer Relations,2,medium
A hotel owner plans to conduct secondary research to learn more about guest satisfaction. Which of the following options would be the most appropriate method of secondary research for the hotel owner:,Review customer comments in the hotel database,Create a satisfaction survey to provide to all new guests,Interview the hotel staff members about guests' attitudes,Observe hotel guests to determine their satisfaction,A,"Review customer comments in the hotel database. Secondary research examines information that was previously collected for other purposes. Reviewing customer comments stored in a database is an example of secondary research since the data were previously collected. Creating a survey, interviewing staff members, and observing guests are primary research activities since they are designed to collect information specific to the research goal. 2021, from https://www.destinationbc.ca/content/uploads/2018/07/TBE-Guide-ResearchGuide-For-Tourism-Operators-Mar-2015.pdf",Information Management,2,medium
What is a likely result of accommodating a customer's special request?,Other customers will feel they are not being treated fairly.,The customer will generate word-of-mouth influence.,The customer will become even more demanding.,The company will be perceived as inadequate.,B,"The customer will generate word-of-mouth influence. When customers request special treatment, honoring their requests will create an exceptional experience for them. They will be much more likely to provide positive word-of-mouth feedback to other potential customers. It is not likely that other customers will feel that they are not being treated fairly, that the customer will become even more demanding, or that the company will be perceived as inadequate. means. Retrieved August 13, 2021, from https://blog.fctgcareers.com/blog/what-goingabove-and-beyond-for-the-customer-really-means",Customer Relations,2,easy
The main difference between customer relationship management and customer experience management is that CRM focuses on,the business itself.,customers.,product development.,investors.,A,"The business itself. The main difference between CRM and CEM is that CRM focuses on the business itselfâ€”its goals, its strategies, its internal processes, etc. CEM, on the other hand, looks outward. Its focus is on customer needs and wants (also known as a customer-centric focus). Neither CRM nor CEM focus on product development or investors.",Customer Relations,2,hard
The manager of the Majesty Resort just quit in the middle of summer vacation season. They told the owner that they felt too overwhelmed by all of the work they had to do. The owner of the Majesty Resort should have,closed down the resort during peaks in demand.,hired a more responsible manager.,convinced the manager to stay.,increased staffing for peaks in demand.,D,"Increased staffing for peaks in demand. Employee turnover can become a problem during peaks in demand, when employees (such as the manager in this example) become overworked and stressed. This issue could have been avoided by increasing staffing to meet demand. Hiring a more responsible manager might not necessarily help, because there still might not be enough staff to handle the demands of the busiest seasons. Convincing the manager to stay would also not help with the excessive demand unless other staff members were hired to help as well. Closing down the resort during peaks in demand is not a good idea; the resort would lose revenue and would likely struggle to stay in business. August 13, 2021, from https://roomkeypms.com/blog/staffing-strategies-peak-off-seasons",Customer Relations,2,easy
What economic activity examines how money payments are divided between resource owners and producers?,Exchange,Consumption,Distribution,Production,C,Distribution. This economic activity examines how the money payments received by resource owners and producers are divided or distributed. Resource owners must feel that the incomes they receive are large enough so that they will continue to be willing to supply resources. Producers must receive enough income so that they are able to continue making or providing goods and services. Consumption is the process or activity of using goods and services. Production is the making of goods and services. Exchange involves the trade of money payments between producers and the owners of resources.,Economics,2,easy
Which of the following is a benefit of opening a franchise:,Large profits are made through added value.,Franchisors must pay annual royalties.,A working business model is already available.,Franchises have substantial purchasing power.,C,"A working business model is already available. Franchising occurs when a business owner purchases another organization's business strategy, brand, and product. This model is beneficial because the franchisor is generally already successful and has a working business model in place. A franchisee does not have to start from scratch. Franchisors do not have to pay annual royalties; rather, the franchisee has to pay royalties, and this is not necessarily a benefit. Franchises do not necessarily make large profits through added value, and they also do not necessarily have substantial purchasing power. a franchisee? Retrieved August 12, 2021, from https://www.franchisedirect.com/ultimateguide-to-franchising/benefits-of-franchising/",Economics,2,easy
"Which of the following ""adaptable"" strategies seeks to strengthen an organization by bringing employees together as well as by empowering them as individuals:",Slack resources,Marketing orientation,Organizational learning,Competitive aggression,C,"Organizational learning. Organizational learning is a strategy that seeks to strengthen an organization by bringing employees together as well as by empowering them as individuals. It includes concepts such as systems thinking, team learning, shared organizational vision, mental modeling, and personal mastery. Marketing orientation is a strong focus on meeting customer needs and wants. Slack resources are resources that go above and beyond what is needed to operate an organization. Competitive aggression is a drive to win scarce customer dollars in the marketplace.",Economics,2,hard
What is one of the reasons that economic systems are necessary?,People are interdependent.,Governments are unstable.,Products are expensive.,Resources are unlimited.,A,"People are interdependent. People in all economic systems are interdependent. In other words, they must depend on each other to obtain the things they need. The economic system provides a way for this to happen. For example, people work to produce goods and services for others but also earn incomes that they use to buy goods and services that they cannot make for themselves. Many resources are limited rather than unlimited. Some governments are unstable, but many are stable. The cost of products ranges from inexpensive to expensive. These factors are not the reasons that economic systems are needed.",Economics,2,easy
Consumer spending is most likely to increase when,unemployment rates decline.,interest rates rise rapidly.,business production slows.,a recession begins.,A,"Unemployment rates decline. When unemployment rates decline, there are more people working and earning an income. When people have available income, their spending tends to increase. When business production slows, businesses produce fewer goods and services. A decline in production often leads to facility closings and employee layoffs. When people are unemployed, they are not earning an income, so consumer spending tends to decrease. When business activities decline over several months, it typically indicates the beginning of an economic recession. During economic recessions, people tend to cut back and save their money rather than spend it. When interest rates increase rapidly, it becomes more expensive to obtain loans to buy expensive items such as cars and homes, which can reduce consumer spending. 138]. Tinley Park, IL: The Goodheart-Willcox Co.",Economics,3,easy
"Cara recently purchased a local coffee shop from Tom. She runs the day-to-day operations of the coffee shopâ€”hiring employees, ordering goods, and determining daily specials. She is happy running the coffee shop as it is and has no plans to expand. What does this situation exemplify?",Cara is a wholesaler.,Cara is an entrepreneur.,Cara is a franchisor.,Cara is a small-business owner.,D,"Cara is a small-business owner. A small-business owner is an individual who owns a business venture to generate income without intentions of growing or expanding the business. Because Cara purchased the coffee shop from someone else, and she has no desire to expand the business, she is a small-business owner. An entrepreneur is an individual who invents, develops, and distributes a good or provides a service, and assumes the risks and rewards of starting and building the business. A franchisor is a parent company and owner of the name and/or system that is being distributed through a licensing arrangement. Wholesalers are intermediaries who help move goods between producers and retailers by buying goods from producers and selling them to retailers. 2021, from https://www.investopedia.com/articles/investing/092514/entrepreneur-vs-smallbusiness-owner-defined.asp",Economics,3,medium
Making a decision when facing an ethical dilemma will most likely make you,anxious.,less content.,unhappy.,more satisfied.,D,"More satisfied. Making a decision when facing an ethical dilemmaâ€”even if itâ€™s toughâ€”will make you happier, more satisfied, and less conflicted. Even if your ultimate decision when facing an ethical dilemma is to do nothing, itâ€™s still important to make the decision instead of allowing the ethical dilemma to control your life. Making a decision is not likely to make you feel unhappy, anxious, or less content.",Emotional Intelligence,3,easy
"To manage their work commitments in a timely manner, businesspeople should",estimate the time that it takes them to perform their tasks.,ask their coworkers to help them with routine activities.,work on enjoyable tasks before tackling the unpleasant tasks.,identify shortcuts that they can take to get their work done quickly.,A,"Estimate the time that it takes them to perform their tasks. When businesspeople estimate the time that it takes to perform their tasks, it helps them plan, prioritize, and manage their workloads effectively. Planning their work helps businesspeople avoid scheduling activities too close together, which can affect the quality of their work. For example, if it takes a businessperson one hour to prepare a status report that is due at 4:00 p.m., they should not start the report at 3:30 p.m. Because coworkers have their own work commitments, they should only help in emergencies with management's approval. Pleasant tasks are not always priorities for businesspeople. Taking shortcuts and performing work too quickly often result in errors and low-quality work. August 12, 2021, from https://corporatefinanceinstitute.com/resources/careers/softskills/time-management-list-tips/",Emotional Intelligence,3,medium
"When Sandy walks down the sidewalk, she looks people in the eye and says hello. What characteristic of a positive attitude does this display?",Positive people are pleasant and smiling.,Positive people are responsible.,Positive people are flexible.,Positive people are uncomplaining.,A,"Positive people are pleasant and smiling. When Sandy looks people in the eye and says hello to them, she is displaying the positive characteristic of being pleasant and smiling. Positive people are also responsible, flexible, and uncomplaining, but Sandyâ€™s behavior does not illustrate these qualities.",Emotional Intelligence,3,easy
"Jeremy listened to his friend Mike's description of a problem Mike recently had at work and said, ""It's easy to see why you are so upset."" What empathetic trait does Jeremy have?",Honesty,Understanding,Sharing,Open-mindedness,B,"Understanding. Being an understanding person is necessary for empathy. You don't need to share the same experiences that someone else has had, but you do need to understand where they are ""coming from."" Honesty is truthfulness. Open-mindedness is keeping your mind open to new thoughts, ideas, and approaches.",Emotional Intelligence,3,medium
Tremont is the head manager of a successful downtown restaurant. The owner has requested a meeting with the staff to acquire their input on ways to maintain and improve their excellent service. Tremont realizes that some members of the wait staff are very reserved individuals. Other members of the wait staff are outspoken and impulsively offer unrealistic ideas. What could Tremont do to ensure the staff members provide their opinions and ideas in a productive way at the meeting?,Ask the owner to share his expectations and future goals for service levels at the meeting.,Ask staff members probing questions about the current quality of service at the meeting.,Ask each staff member to bring two suggestions for service improvements to the meeting.,Provide time at the meeting for an open discussion about service among all staff members.,C,"Ask each staff member to bring two suggestions for service improvements to the meeting. Asking the staff to prepare suggestions ahead of time gives reserved staff members time to think about their responses and gives outspoken staff members time to develop more thoughtful suggestions. Asking probing questions about the current quality of service may come across as a form of evaluation rather than an opportunity to share new ideas. If the owner shares his expectations and goals, staff members would be less inclined to share their own ideas. An open discussion might be avoided by reserved staff members or dominated by outspoken staff members. types. Retrieved August 12, 2021, from https://www.knowledgecity.com/blog/leveragingpersonality-types/",Emotional Intelligence,3,hard
Michael is applying for a new part-time job. What should he do to increase his chances of receiving an interview?,Send the hiring manager a weekly letter of interest,Emphasize his communication skills on his rÃ©sumÃ©,Provide the employer with his most recent credit report,Ask current employees to vouch for his abilities,B,"Emphasize his communication skills on his rÃ©sumÃ©. Employers from many different fields consider good communication skills to be a highly desirable trait for employees. Emphasizing his communication skills on his rÃ©sumÃ© would likely increase Michael's chances of receiving an interview. Michael should not send the hiring manager a weekly letter of interestâ€”doing so would be excessive and would likely reduce his chances of getting an interview. There is also no need for him to provide the employer with his most recent credit report. Unless he knows one of them personally, it would be inappropriate to ask current employees to vouch for his abilities.",Emotional Intelligence,3,easy
Zachary's team includes people from many different departments working together to complete a project. Zachary is a member of what type of team?,Standing committee,Cross-functional,Self-directed,Quality circle,B,"Cross-functional. A cross-functional team is a team that includes team members from different areas of specialization who work together to complete a task. Zachary's team includes many different departments, so it is a cross-functional team. There is no indication that Zachary's team is a standing committee, a self-directed team, or a quality circle.",Emotional Intelligence,3,easy
Which of the following is an example of a workplace dilemma:,Using vacation time,Academic dishonesty,Appropriate use of resources,Befriending coworkers,C,"Appropriate use of resources. Using your employer's resources appropriately is an example of an ethical dilemma that could take place in the workplace. Academic dishonesty is an ethical issue, but it does not typically take place in the workplace. Using vacation time and befriending coworkers are not necessarily ethical workplace dilemmas.",Emotional Intelligence,3,easy
Something that is the current or existing way of completing a task is often referred to as,status quo bias.,effective.,the status quo.,herd mentality.,C,"The status quo. When something is the current or existing way of completing a task, it is usually referred to as the status quo. Status quo bias is a preference to maintain the status quo and the view that a change from it is a loss. Herd mentality refers to a mob mentality that causes people to be influenced by others or to adopt certain behaviors. Just because something is the current or existing way of completing a task does not necessarily mean it is effective.",Emotional Intelligence,4,easy
"Depending on the circumstances, stealing someone elseâ€™s idea and passing it off as your own may constitute",ethical accountability.,trademark awareness.,,business negligence.,C,"means stealing someone else's idea or work and passing it off as your ownâ€”and it's not just unethical, it's illegal. Stealing an idea and claiming it as your own is not generally called business negligence, ethical accountability, or trademark awareness.",Entrepreneurship,4,medium
Which of the following is a benefit of credit cards over debit cards:,Lower risk of debt,Interest payments,Consumer protections,Convenience,C,"Consumer protections. Credit cards offer protections such as zero liability and payment stops that you can use without losing your funds. Interest payments are a disadvantage of credit cards. Credit cards have a higher risk of debt than debit cards. Finally, convenience is a benefit of both credit cards and debit cards. 2021, from https://www.experian.com/blogs/ask-experian/are-credit-cards-safer-than-debitcards/",Financial Analysis,4,easy
"Maggie is creating a personal budget. How should she categorize her monthly rent and student loan payments, which are consistent from month to month, when organizing her budget?",Variable income,Fixed expenses,Fixed income,Variable expenses,B,"Fixed expenses. Fixed expenses are expenses or costs that do not fluctuate from month to month, such as rent or fixed-rate mortgage payments, car payments, and student loan payments. Variable expenses, on the other hand, may fluctuate from month to monthâ€”or even from week to week, such as grocery costs. The same concept applies to fixed income and variable income. Retrieved August 12, 2021, from https://www.thebalance.com/what-s-the-differencebetween-fixed-and-variable-expenses-453774",Financial Analysis,4,medium
"If you do not keep up with the balance of your checking account, you might",incur fees and penalties.,have your identity stolen.,prevent fraudulent charges.,challenge the bank's authority.,A,"Incur fees and penalties. If you are not aware of the deposits and purchases in your checking account, you might incur fees and penalties for overdrawing your account or having a check bounce. Not keeping up with your checking account balance will not necessarily lead to having your identity stolen. You will not prevent fraudulent charges or challenge the bank's authority by not keeping up with the balance of your checking account. 12, 2021, from https://www.tropicalfcu.com/blog/tips-to-keep-your-checking-accountbalanced",Financial Analysis,4,easy
"When Armand is reconciling his accounts by comparing his personal records with his recent bank statement, he must make sure that he has subtracted any __________ from his checkbook.",transaction fees,accumulated interest,payroll deposits,check numbers,A,"Transaction fees. Reconciling bank statements involves comparing the entries in a checkbook or other personal records with the entries listed on the bank statement. It is important to make these comparisons to determine inconsistencies and mistakes. If a check is not recorded correctly, and if the mistake is not caught, the individual runs the risk of having insufficient funds in their checking account, which results in bounced checks. Some financial institutions charge transaction fees for checking accounts, so it is important to make sure that those fees are subtracted from the checking account balance. Accumulated interest and payroll deposits are added to the checking account balance rather than subtracted from it. Check numbers are not subtracted from the checkbook when reconciling bank statements and personal record balances. August 12, 2021, from https://www.forbes.com/advisor/banking/how-to-balance-acheckbook/",Financial Analysis,4,medium
Le' Grand Hotel experienced record profits and chose to reinvest those profits back into the hotel for a major remodeling project. Where would these retained earnings be represented on a balance sheet?,Under contributed capital,Under assets,Under stockholders' equity,Under revenue,C,"Under stockholders' equity. Retained earnings are represented under stockholders' equity because they are monies reinvested back into the business by the stockholder(s). Assets are considered resources owned by the company, not monies invested or reinvested into the business. Contributed capital refers to monies invested into the company by the owner or other investors, rather than profits or earnings that are reinvested into the company. Revenue refers to earnings from the sales of goods or services and is dealt with on income statements, not balance sheets. Multicolumn journal (11th ed.) [Lesson 16-3]. Boston, MA: Cengage Learning, Inc.",Financial Analysis,4,medium
What do businesses often develop to reduce the possibility of employees accepting payment from customers without recording the sale?,Internal control procedures,Credit card restrictions,Two-person teams,Break-even requirements,A,"Internal control procedures. Businesses often develop procedures to control cash or other assets in order to prevent loss. These fall under the category of internal controls. These procedures might include training employees on how to use the cash register and requiring that they ring up each sale on the register and give receipts to all customers. These procedures help control cash by reducing the possibility of employees accepting payment from customers without recording the sale, charging the wrong price, or giving customers too much change. Businesses do not develop credit card restrictions, two-person teams, or break-even requirements to reduce the possibility of employees accepting payment from customers without recording the sale. controls, cash clearing, etc.) Retrieved August 13, 2021, from https://work.chron.com/internal-control-procedures-receiptcash-6735.html",Financial Analysis,4,medium
A business's finance function may be compromised by groupthink because the practice is likely to,provoke conflict because it encourages others to express their opinions.,pressure employees to conform under questionable circumstances.,hinder consensus building in favor of individuality.,take a lot of time to evaluate problems to make ethical business decisions.,B,"Pressure employees to conform under questionable circumstances. Groupthink is a psychological phenomenon that evolves when conformity and the cohesiveness of the group become more important than the group's objective, purpose, or problem. As a result, group members often feel pressured to conform and behave in ways that they normally would not. Members learn to not ""rock the boat"" by sacrificing their individuality, opinions, and personal ethics so they are not ostracized from the group. In its extreme form, groupthink practices may result in unethical practices such as covering up financial mistakes, using company money inappropriately or carelessly, lying to the business's shareholders about the financial health of the company, embezzling activities, etc. 12, 2021, from https://www.huffingtonpost.com/stan-sorscher/group-think-caused-thema_b_604810.html",Financial Analysis,4,medium
"When a guest makes guaranteed reservations with a credit card, how is an authorization check applied to the card?",The card is charged with the full room rate when the reservation is made.,A hold is placed on a portion of the card's available credit line when the reservation is made.,A hold is placed on a portion of the card's available credit line when the guest checks in.,The card is charged with the full room rate when the guest checks in.,C,"A hold is placed on a portion of the card's available credit line when the guest checks in. An authorization check is made when the guest arrives to ensure that there are sufficient funds available on the card to cover all lodging expenses related to the reservation. A credit card is not actually charged until a guest checks out to ensure that the guest's appropriate room rate is charged as well as any other hotel charges the guest made during their stay. August 13, 2021, from http://blog.unibulmerchantservices.com/how-to-process-credit-cardpayments-at-hotels/",Financial Analysis,4,medium
"After Taylor puts in her two weeks' notice at her job, her human resources manager schedules a time to sit down and talk about why she's leaving and how the company can improve. This is considered a(n) __________ interview.",recruiting,exit,orientation,onboarding,B,"Exit. Exit interviews aim to gauge employee attitudes about a company, gain constructive suggestions for improvement, and gather further understanding about employee turnover. Onboarding activities are done shortly after the employee is hired and include employee orientation. Recruiting is the part of staffing that involves seeking out and attracting qualified potential employees.",Human Resources Management,5,medium
Why is it essential for a company to have firm policies concerning discriminatory behavior?,To eliminate discriminatory attitudes,To promote diversity,To eliminate workplace violence,To reduce diversity,B,"To promote diversity. Companies that have firm policies to deal with discriminatory behavior are more effective at promoting (not reducing) diversity. While policies concerning discriminatory behavior can indirectly reduce workplace violence, those policies are not likely to eliminate workplace violence completely. Company management can model positive attitudes and demonstrate the importance of diversity, but it is not always possible to change or eliminate discriminatory attitudes among employees. religious, gender) from https://smallbusiness.chron.com/top-10-diversity-issues-work-24939.html",Human Resources Management,5,medium
Positive and negative results can often be directly related to a company's,name.,taxes.,actions.,location.,C,"Actions. Positive and negative results can often be directly related to a companyâ€™s actions. Every action contributes to a result or results, good or bad. Although certain results might also occur due to issues with a businessâ€™s taxes, name, or location, its actions are most directly related to results. consumer buying behavior, gaining market share, etc.)",Marketing,5,easy
A floral shop offers build-your-own-bouquet events for brides and their bridal parties. This is an example of,mass marketing.,segment marketing.,demographic segmentation.,loyalty response.,B,"Segment marketing. When a business focuses on a specific group of people such as brides, it is using segment marketing. Mass marketing is the marketing of products to a large group of people. Demographic segmentation divides a market based on general physical and social characteristics (e.g., age, gender, religion), not on a specific life event. Loyalty response refers to a consumer's preference for a particular brand.",Market Planning,5,easy
Which of the following types of nonpublic personal information (NPI) can a company be held legally responsible for revealing:,A customer's ownership of a home,A record of bankruptcy,A customer's published phone number,A customer's payment history,D,"A customer's payment history. Companies can be held liable for revealing customers' nonpublic personal information (NPI) because it invades the customers' privacy and can expose them to financial harm. NPI is any personally identifiable information that an organization collects in connection with providing a financial product or service unless that information is publicly available. Examples of NPI include information about a customer's business with an organization, account numbers, payment history, loan or deposit balances, and credit or debit purchases. Bankruptcies, published phone numbers, and home ownership are all examples of published information that is easily accessed through regional, state/province, national, and court databases and records. Gramm-Leach-Bliley Act. Retrieved August 12, 2021, from https://www.ftc.gov/tipsadvice/business-center/guidance/how-comply-privacy-consumer-financial-information-rulegramm.",Information Management,5,medium
A company's computer network allows many users to access the same programs on different computer units throughout the company. What type of computer operating system is the company using?,Hosted,Multithreading,Augmented,Multiprocessing,D,Multiprocessing. The computer's operating system consists of the components needed to run all of the computer applications and programs. An operating system that allows several central processing units (computers) to access a single program has multiprocessing capabilities. Multithreading capabilities allow different components of one computer program to run at the same time. Augmented and hosted are not types of operating systems. https://www.webopedia.com/definitions/operating-system/,Information Management,5,easy
The primary purpose of groupware computer applications is to enable multiple employees with the ability to,obtain the same information from a central point of access.,develop different formulas to manipulate financial data.,save documents in a variety of versions and formats.,create budgets for different business functions.,A,"Obtain the same information from a central point of access. Groupware computer applications enable employees to access the same information from different locations. All of the information is stored and accessed from one location. The advantage to using groupware applications is that they enable each employee to have the necessary data to complete their portion of the work process or project in a timely manner. Depending on the business's needs, groupware applications may include spreadsheet functions that enable employees to develop mathematical formulas, manipulate financial data, move financial data to other groupware applications, or create budgets. Groupware applications also may contain wordprocessing capabilities that enable employees to save documents in a variety of versions or formats. https://www.lifewire.com/what-is-groupware-2377429",Information Management,5,easy
"What software do hotels, resorts, and various transportation entities use to expedite the reservation process for customers?",Customer relationship management,Customer reservation systems,Online booking,Websites,C,"Online booking. Many hospitality and tourism businesses offer websites that enable customers to conveniently book their reservations online. This gives customers 24-hour access to reservation systems when it's convenient for them to quickly make a reservation. Customer reservation systems are used by travel agents. Customer relationship management software is databases of customer information. Websites by themselves would not expedite the reservation process for customers. features, pricing and more. Retrieved August 13, 2021, from https://financesonline.com/online-booking-software-comprehensive-guide-benefits-featurespricing/",Information Management,5,medium
Which of the following is useful marketing information that a business might obtain by analyzing a customer database:,Total sales for each month of the previous year,The expense involved in developing a customer database,Federal identification numbers for current and past customers,"The average customer is married, owns a home, and earns $50,000 a year.",D,"The average customer is married, owns a home, and earns $50,000 a year. The purpose of analyzing a customer database is to identify specific characteristics that the business can use to market its goods and services to customers. Businesses are better able to target their market if they know what type of customer makes up the market. For example, a business probably would use different techniques to sell to customers who are married, own their own homes, and earn $50,000 a year than to customers who are single, rent, and earn $25,000 a year, because these types of customers have different wants and needs. Federal identification numbers are provided to businesses and do not provide useful marketing information. A customer database will not provide information about total sales for each month or the expense involved in developing the database. tools. Retrieved August 13, 2021, from https://www.scnsoft.com/analytics/customer",Information Management,5,easy
Which of the following is a benefit that comes from tracking analytics:,Saving money on web hosting costs,Preventing page bounces,Discovering new sales tactics,Measuring the success of marketing campaigns,D,"Measuring the success of marketing campaigns. Web analytics allow you to collect data about visitors to your website. One of the benefits of doing so is being able to measure the success of digital marketing campaigns. You can track which campaigns lead to more page views and clicks, which allows you to make smarter marketing decisions in the future. While tracking analytics can help you reduce page bounces, it does not prevent them altogether. Tracking analytics is not necessarily related to discovering new sales tactics. Finally, tracking analytics does not necessarily save money on web hosting costs. August 13, 2021, from https://www.koozai.com/blog/analytics/google-analytics-businessbenefits",Information Management,5,easy
The Demarco Hotel employed data mining techniques to analyze its clients' online search activity. It discovered that customers that visit antique shops also commonly tour art and history museums. What type of data mining tool did the hotel use?,Cluster detection,Anomaly detection,Association learning,Big data collection,C,"Association learning. Discovering that customers who engage in one activity also engage in a similar one is an example of association learning. An anomaly identifies unusual behavior, not similar or associated behavior. Cluster detection analyzes data and defines distinct clusters or subcategories within a category. Big data collection is not a data mining tool. https://deepai.org/machine-learning-glossary-and-terms/association-learning",Information Management,6,medium
A cafe owner has noticed many consumers prefer strongly caffeinated tea products. They decide to offer teas and lattes made with strongly caffeinated matcha green tea. The owner is responding to,a trend.,the business cycle.,competition.,a government regulation.,A,"A trend. The business owner's offering of matcha green tea drinks is a response to a consumer trend. There's no indication that the cafÃ© owner is responding to competition, the business cycle, or a government regulation. 198-199]. Tinley Park, IL: The Goodheart-Willcox Co.",Information Management,6,medium
"Esteban greets guests by name, makes eye contact, and smiles warmly as they pass. Esteban is demonstrating service that is",customer-focused.,inconsistent.,distant.,accurate.,A,"Customer-focused. One important factor associated with positive customer experiences is being customer-focused. Esteban is demonstrating this factor by greeting the guests by name, making eye contact, and smiling to show he cares about treating the customers well. Esteban is not necessarily demonstrating distant, inconsistent, or accurate service in this example. IL: The Goodheart-Willcox Company.",Customer Relations,6,easy
The manager of an event center wants to know which of the three ballrooms guests prefer. Which of the following research methods would be most effective:,Reviewing customer records,Performing competitive analysis,Hosting a focus group,Tracking customer expenses,A,"Reviewing customer records. Customer records contain a large amount of information that can be useful to a hospitality and tourism business. If a manager of an event center wants to know which of the ballrooms is preferred, they can review customer records to see if one of the ballrooms is requested or booked more than others. Competitive analysis will not necessarily help the manager in this situation, because they are not interested in competitors. A focus group would not necessarily be broad enough to provide the information that the manager needs. Finally, tracking customer expenses will not necessarily provide the information that the manager needs. observations, mail, telephone, Internet, discussion groups, interviews) 2021, from https://www.destinationbc.ca/getattachment/Research/Resources-forResearchers/How-To-Guides/TBE-Guide-Research-Guide-For-Tourism-Operators-Mar2015.pdf.aspx",Information Management,6,easy
"If a company wants to promote specific products to previous customers, what would be the best way for it to obtain the necessary data for a mailing list?",By reviewing its marketing research plans,By purchasing information from competitors,By purchasing data from outside researchers,By searching its own customer database,D,"By searching its own customer database. A company's own customer database should contain the names, addresses, and previous sales histories of previous customers that can be used to create a mailing list for specific products. Competitors and outside researchers would not have access to the names and addresses of previous customers. Reviewing marketing research plans would not provide the names or addresses of previous customers. Retrieved August 13, 2021, from https://www.xero.com/blog/2020/07/customer-databasegood-for-business/",Information Management,6,easy
One of the advantages of using statistics is that individual employees' biases can't impact decisionmaking. That is because statistics are,affordable.,objective.,accurate.,persuasive.,B,"Objective. Statistics are objective, which means that they are factual and not influenced by bias, prejudice, or outside opinion. When using statistics, decision-making is less likely to be biased by individual employees. While statistics can be affordable, accurate, and persuasive, those are not related to employees' biases. making. Retrieved August 13, 2021, from https://smallbusiness.chron.com/importancestatistics-management-decision-making-4589.html",Information Management,6,hard
What trend has resulted from the desire of the hospitality and tourism industry to gain a competitive advantage by exceeding customer expectations?,Increased emphasis on customer safety,Increased attention to legal issues,Increased emphasis on training,Increased attention to sustainable resources,C,"Increased emphasis on training. The hospitality and tourism industry has recognized that competing on the basis of price is not the answer for profitability. Instead, management has shifted its focus to ways that employees can provide exemplary service, thus setting a business apart from its competitors. To accomplish this, management has increased its focus on employee training. Attention to the other alternatives should help businesses gain a competitive advantage; however, they do not relate to exceeding customer expectations. https://cayugahospitality.com/chuck-kelley/service-excellence-from-the-inside-out/",Information Management,6,medium
