Question,A,B,C,D,Correct,Explanation,Marketing,Assessment,Difficulty
Why are some business professionals reluctant to generate new product ideas?,They are afraid of risk.,They like to explore.,They are lateral thinkers.,"They think ""outside the box.""",A,"They are afraid of risk. Many business professionals are reluctant to generate new product ideas. Some are worried about the unknowns and risks that come with new products. Some are not good at thinking ""outside the box."" Others are afraid to voice new product ideas due to criticism and ridicule that their ideas may attract from close-minded coworkers and supervisors. Lateral thinkers, who typically are good at thinking outside the box and like to explore, are likely to generate and share their ideas.",Product Management,10,medium
What effect do some environmental laws have on businesses?,Control exterior landscapes,Require more employees,Increase operating costs,Limit equipment purchases,C,"Increase operating costs. Environmental laws are intended to conserve and protect the natural environment. Many of these laws have an impact on the way businesses operate by requiring them to decrease pollution or control waste. As a result, businesses often need to spend money to comply with the rules and regulations, which leads to an increase in operating costs. For example, a business might need to purchase pollution-control devices. Environmental laws do not require businesses to hire more employees or develop exterior landscapes. The laws do not limit equipment purchases. In fact, businesses may need to buy more equipment to comply with the laws. environment, and related agencies appropriations legislation . Retrieved August 12, 2022, from https://www.uschamber.com/assets/documents/220628_FY23_Interior_HouseApprops_2022-06-28190630_mmjj.pdf",Business Law,1,medium
The purpose of customs regulations is to,uphold the longstanding traditions of the country.,ensure that nothing foreign enters the country.,prevent immigration into the country.,control the flow of goods into and out of the country.,D,"Control the flow of goods into and out of the country. Customs regulations are in place to protect a country's economy, environment, citizens, and jobs by controlling the flow of goods into and out of the country. Customs regulations are not intended to prevent anything foreign from entering the country, or to prevent immigration. Customs regulations are not related to the traditions of a country. from https://www.cbp.gov/travel/international-visitors/kbyg/customs-duty-info",Business Law,1,easy
"Walmart, Domino's, and Avis Rent-a-Car are examples of",retailers.,wholesalers.,agents.,industrial distributors.,A,"Retailers. Retailers are businesses that buy consumer goods or services and sell them to the ultimate consumer. Walmart, Domino's, and Avis Rent-a-Car all sell directly to consumers. Wholesalers are businesses that buy goods from producers or agents and sell to retailers. Agents assist in the sale and/or promotion of goods and services but do not take title to them. Industrial distributors are intermediaries that buy industrial goods and services and sell them to industrial users.",Channel Management,1,easy
One common barrier to the use of technology in channel management is,the overwhelming number of technology options.,employees' inability to master new technology.,the possibility for increased productivity and efficiency.,companies' refusal to implement new tools.,A,"The overwhelming number of technology options. Using technology is a great way to improve overall channel management success. However, the sheer number of options for channel management technologies can be overwhelming for many companies. This is a common barrier to implementing channel management technology. Companies generally don't refuse to implement new tools because most companies understand the value of new technology. The possibility for increased productivity and efficiency is a benefit of using channel management technology, not a barrier to it. Employees are generally able and willing to learn to master new technologies. landscape. Retrieved August 12, 2022, from https://www.zs.com/insights/seven-steps-to-navigatethe-channel-management-technology-landscape",Channel Management,1,medium
"When a channel leader requires another channel member to purchase and use an expensive electronic data interchange system in order to maintain its position in the distribution chain, the channel leader is engaging in the unethical practice of",diplomacy.,control.,deception.,coercion.,D,"Coercion. Coercion is an attempt to gain compliance through threats or by bullying. When a channel leader places unreasonable pressure on a channel member to do something that is not in the best interest of the channel member, it is using coercion. For example, a channel leader that yields a lot of power in the distribution chain may set unrealistic sales goals for a dealer, or it may pressure a supplier to lower its prices to a point that it hurts the supplier's profits. Coercion tends to create channel conflict, leads to unfair and unsatisfactory business relationships, and often disrupts the distribution process. Control is a management function that monitors the work effort. Deception is misleading behavior. Diplomacy is tact. August 16, 2022, from https://www.mbaknol.com/marketing-management/power-equations-ofdistribution-channels/",Channel Management,1,medium
One reason a channel of distribution that has strong leadership is often able to avoid conflict within the channel is because the leader has the,authority to demand cooperation.,ability to provide training.,capacity to regulate change.,personality to develop friendships.,A,"Authority to demand cooperation. Strong leaders have the authority and power to influence others and direct the actions of others. A channel of distribution that has strong leadership is often able to avoid conflict within the channel because the leader has the authority to set goals for the entire channel and demand cooperation, which reduces the possibility of conflict. The leader's authority makes it possible for the leader to assign specific responsibilities to each channel member and persuade members to accomplish their individual tasks. When each member is cooperating and working for the good of the channel, there is less chance of conflict. It is not necessary for the leader to develop friendships. Channel leaders usually do not provide training. It is not possible to regulate change, although an effective leader will help channel members adjust to change. 2022, from https://www.thespurgroup.com/blog/chief-channel-officer-roles",Channel Management,1,medium
Which of the following is an example of an affinity partnership:,A restaurant gives discounts to those who join its rewards program.,An airline offers frequent flyer miles to travelers.,A credit card company offers cards with sports teams' logos.,A bank pays to have its name on a local concert venue.,C,"A credit card company offers cards with sports teams' logos. Affinity marketing is a strategy in which an organization solicits responses from a group that shares a common interest or activity. If a credit card has a sports team's logo on it, fans of that team might be more likely to choose that particular company. An airline that offers frequent flyer miles is not an affinity partnership because there is no relationship between the airline and another organization; rather, this is an example of frequency marketing. A restaurant giving discounts to members of its rewards program is also an example of a frequency marketing strategy. Finally, a bank that pays to have its name on a local concert venue is engaged in a sponsorship, rather than an affinity partnership. success. Retrieved August 15, 2022, from https://referralrock.com/hub/types-of-marketing/affinitymarketing/",Channel Management,1,easy
Communication among coworkers and supervisors should be,an optional formality.,an opportunity for feedback.,saved for individual performance reviews.,contained in one meeting.,B,"An opportunity for feedback. Staff communication should not be a one way street. Maintaining open lines of communication in a business setting is important, and employees need to feel comfortable giving feedback to their coworkers and supervisors. Staff communication is not an optional formality; it's a crucial part of running a successful business. It should be continual, not saved for individual performance reviews or contained in one meeting. Retrieved August 29, 2022, from https://www.go2hr.ca/commication-social-media/speak-easy-theimportance-of-ongoing-employee-communications",Communication Skills,1,medium
When should a visual aid be shown during a presentation?,At the end of the presentation to summarize,When the audience gets bored and restless,During the entire presentation to maintain interest,When the speaker shares relevant information,D,"When the speaker shares relevant information. Speakers should show visual aids to enhance their message when those charts, graphics, videos, etc., correspond with the specific information that they are presenting. It's not likely that an image will be relevant or appropriate for the entire presentation, and overuse may cause it to lose its impact. A visual aid might help engage a bored audience but would add little value if it isn't related to the material being shared. While visual aids may assist a speaker in summarizing their presentation, visual aids can also be helpful during the introduction or body of a presentation.",Communication Skills,1,easy
Which of the following is an open question:,What is your presentation about?,Is your presentation finished?,Do you need a projector for your presentation?,Are you ready for your presentation?,A,"What is your presentation about? Open-ended questions are those that require more than just a yes or no answer. If someone asked you what your presentation was about, it would require you to say more than just yes or no. But if someone asked you if you were ready for your presentation, if your presentation was finished, or if you needed a projector for your presentation, you would be able to answer with a simple yes or no. These questions are considered closed-response questions. 2022, from https://examples.yourdictionary.com/examples-of-open-ended-and-closed-endedquestions.html",Communication Skills,1,easy
A primary use of flowcharts in business documents or presentations is to,identify trends.,explain relationships.,compare and contrast data.,summarize numerical data.,B,"Explain relationships. Graphic aids help clarify, reinforce, and summarize information. Flowcharts help explain relationships. For example, an organizational chart illustrates a business's chain of command. Flowcharts may also show the ways in which sequential processes work, such as project management. Line graphs are often used to illustrate timelines and to identify trends. Bar charts are effective graphic aids to compare and contrast data. Tables are often used to summarize complex numerical data. https://www.lucidchart.com/pages/what-is-a-flowchart-tutorial",Communication Skills,2,medium
A basic purpose of writing a daily activity report is to provide a(n),permanent record of simple but important facts.,overview of work completed and planned.,basis for recommendations to employees.,evaluation of the achievement of company goals.,B,"Overview of work completed and planned. Daily activity reports are a type of simple written reports that outline the work completed, problems and concerns, and work to be done. They usually are fairly short. They may, in some cases, provide a basis for recommendations or a permanent record, but that is not their basic purpose. Quarterly management reports indicate a company's progress toward meeting its goals and objectives and evaluate problems hindering achievement of those goals. 2022, from https://www.monster.ca/career-advice/article/business-report-writing-tips",Communication Skills,2,easy
What should employees do to maintain a customer-service mindset?,Decide how to spend their break time,Listen to the words of soothing songs,Devote their full attention to customers,Maximize conversations with coworkers,C,"Devote their full attention to customers. Maintaining a customer-service mindset requires employees to set their minds on customers. They should not become distracted by other things around them, such as songs, conversations with coworkers, or what they will be doing after work or during breaks. Distractions turn their focus away from customers and prevent them from providing quality service. â€”KEY 4",Customer Relations,2,easy
Which of the following is an example of ethical behavior in marketing-information management:,Changing survey feedback to reflect a positive research outcome,Distributing the phone numbers of customers without their permission,Implementing procedures to protect the privacy of survey respondents,Using complex processes for customers to opt out of emails,C,"Implementing procedures to protect the privacy of survey respondents. Taking steps to protect the privacy of survey respondents is an ethical action. Manipulating feedback, distributing personal information without permission, and using complex email opt-out processes are unethical behaviors. 2022, from https://www.driveresearch.com/market-research-company-blog/ethical-practices-inmarket-research/",Information Management,2,medium
"By promoting their goods and services and offering a number of purchasing arrangements, businesses help to create __________ utility.",financial,time,possession,place,C,"Possession. Possession utility is created when ownership of a product is transferred from the seller to the user. Possession utility can be created through promotions which increase consumer demand for goods. Businesses also help create possession utility by offering a number of purchasing arrangements that make it easy for customers to buy. Financial is not a type of utility. Time utility is having the products available at the time they are desired. Creating place utility means having the products, both goods and services, available at the place where they are needed by the consumer.",Economics,2,hard
Why are consumer goods often poor quality in a communist command economy?,People in a communist command economy consume everything that they produce.,People in a communist command economy do not need quality consumer goods.,The government pays workers based on quantity rather than quality.,High taxes take resources away from producers.,C,"The government pays workers based on quantity rather than quality. In a communist command economy, most resources are allocated toward industrial goods rather than consumer goods. The few consumer goods that are available are often poor quality because the government pays workers based on the quantity, not the quality, of what they produce. People in communist command economies need consumer goods as much as those in other economic systems do. High taxes do not necessarily have a direct effect on production of consumer goods. Finally, people in a communist command economy do not consume everything that they produce; this is instead a characteristic of a traditional economy.",Economics,2,easy
What should economists do to account for the effects of inflation on GDP?,Avoid double counting,Use only nominal GDP,Use a price deflator,Use the balance of trade,C,"Use a price deflator. Inflation can distort GDP by making it higher, not because production has increased, but because prices are higher. A price deflator is an economic metric that converts prices to a base dollar value and allows GDP to be accurately compared over time. Double counting occurs when production is counted more than once. It is not related to inflation. The balance of trade is the difference between imports and exports. It does not relate to the effects of inflation on GDP. Nominal GDP is GDP that has not been adjusted to account for the effects of inflation. GDP that has been adjusted to account for inflation is called real GDP.",Economics,2,easy
"What situation often exists when the economy is in a downturn, and many people are unemployed and cannot buy more than the basic necessities?",Trade deficit,Inflation,Excess demand,Recession,D,Recession. A recession is a six-month's contraction in the gross domestic product (GDP). A recession usually results in rising unemployment and people having less money to spend on consumer goods. Excess demand exists when consumers want more goods than are available to buy. Inflation is a rise in prices that may occur when demand exceeds supply. A trade deficit results from more imports than exports. â€”KEY 5,Economics,2,medium
"Kelly runs a small home bakery. To help her fulfill more orders, she hired three part-time employees. The additional workers increased her output, so she hired another three workers. To her surprise, Kelly's output actually decreased once she added the last three workers. This example best demonstrates the",harm of taking business risks.,law of diminishing returns.,danger of hiring employees.,need for effective employee training.,B,"Law of diminishing returns. The law of diminishing returns is an economic concept that states that if one input increases while others are constant, at some point the increases in output will decline. In this example, Kelly added six new employees to her business without changing anything else. Kelly's business reached the point at which output could no longer increase unless the inputs also increased. This example demonstrates the law of diminishing returns, not the need for effective employee training, the harm of taking business risks, or the danger of hiring employees.",Economics,2,medium
Which of the following circumstances is most likely to cause interest rates to increase:,Low inflation,Consistent investment spending,Economic recession,Tight money supply,D,"Tight money supply. Many factors affect interest rates, including business cycles, consumer spending, inflation, and the money supply. If the money supply is low or tight, there is less money available to lend. This causes interest rates to increase. The government might implement policies to tighten the money supply when the rate of inflation rapidly increases. When investment spending increases, the money supply is usually loose, so interest rates are lowerâ€”it is cheaper for businesses and individuals to borrow money. During a recession, businesses are not expanding, unemployment increases, and consumer spending decreases. Because a recession negatively affects the economy, the government may implement policies that lower interest rates to stimulate commercial growth and consumer spending. 2022, from https://www.investopedia.com/insights/forces-behind-interest-rates/",Economics,2,easy
Feedback can be extremely valuable because it,reinforces your own opinions.,shows you what areas to improve.,gives you a chance to be defensive.,points out others' strengths.,B,"Shows you what areas to improve. Feedback can be very valuable because it shows you how you are doing. If you know what you are doing wrong, you can change that behavior in the future. Feedback does not necessarily reinforce your own opinions, as others may have a different view of you than you have of yourself. Feedback should address your strengths and weaknesses, not those of others. You should not allow negative feedback to make you defensive. People who are defensive are easily angered or upset by criticism or suggestions perceived as criticism, and this prevents them from benefiting from feedback.",Emotional Intelligence,3,easy
Which of the following indicates a high level of self-esteem:,Believing that you should always put others ahead of yourself,Making a mistake and thinking that you are good at making mistakes,Seeing an advertisement for a job and feeling that you could handle it,Imagining how you would feel if you had already graduated,C,Seeing an advertisement for a job and feeling that you could handle it. Self-esteem is how you feel about yourself at any given time. Your level of self-esteem can fluctuate from high to low. Feeling that you could do a job you have read about would indicate your level of self-esteem is high. Imagining how you would feel if you had already graduated is an example of visualization that can be used to support self-esteem. Always putting others ahead of yourself and thinking you are good at making mistakes indicates a low level of self-esteem. https://nickwignall.com/high-self-esteem/,Emotional Intelligence,3,easy
Which of the following remarks represents a negative attitude:,There's nothing fun about working except getting paid.,"Most of my coworkers aren't personal friends, but they're all right.","My job's not the best, but it's not the worst either.","There are some policies that are okay, and some that I don't like.",A,There's nothing fun about working except getting paid. A negative attitude is an outlook that focuses on the bad side of things. The other alternatives represent indifferent attitudes. They convey an outlook or feeling of disinterest and unconcern that is neither positive nor negative. â€”KEY 6,Emotional Intelligence,3,easy
Fulfilling one's obligations through words and actions in a dependable manner is __________ behavior.,routine,responsible,assertive,aggressive,B,Responsible. People are able to trust and rely on individuals who display responsible behavior. Assertive behavior is characterized by respect for one's personal rights as well as for the rights of others. Aggressive behavior respects personal rights at the expense of the rights of others. Routine behavior or activities are those that are done on a daily basis.,Emotional Intelligence,3,hard
"When people make you angry or upset, you may be able to maintain your self-control if you",frown to indicate your displeasure.,make an effort to remain calm.,use language to vent your anger.,adopt a defensive attitude.,B,"Make an effort to remain calm. In some cases, acting calm will actually help you be calmer. Using language to vent your anger indicates you have lost your self-control. Frowning and being defensive are negative responses that will not help you maintain your self-control.",Emotional Intelligence,3,easy
An increase in the amount of income tax people must pay is a change brought about by,government.,technology.,individuals.,society.,A,"Government. New or revised laws, regulations, policies, public services, leadership, etc., are all types of change brought about by government. They are often the result of economic changes. Changes brought about by individuals are changes concerning their bodies, lifestyles, minds, etc. Changes in society are brought about by shifts in people's values, tastes, habits, etc. Changes brought about by technology are developments, breakthroughs, and discoveries in the fields of science, engineering, etc. https://www.investopedia.com/terms/i/incometax.asp",Emotional Intelligence,3,easy
What type of words should Rebecca use to describe her skills and accomplishments when writing her resume?,Jargon,Passive,Action,Vague,C,"Action. Using action words in a resume subtly indicates that the job applicant is assertive, on the move, and actively working to accomplish goals. Action words help the reader visualize the applicant performing a task or activity. Phrases such as, â€œmanaged a long-term marketing project,â€ or â€œcoordinated a local charity event,â€ indicate that the applicant takes action to accomplish a task or goal. Passive or vague words are not likely to impress or entice the reader to read further. Jargon refers to a specialized language known only to a certain group of people. Jargon should be used sparingly and only if it is necessary to describe something that is related to the job. https://owl.purdue.edu/owl/job_search_writing/resumes_and_vitas/resume_workshop/index.html",Professional Development,3,easy
"What type of negotiating style often involves a ""no-compromise"" attitude?",Accommodating,Combative,Collaborative,Flexible,B,"Combative. Those who use the combative style of negotiating are ready to fight for what they want at any cost. It often involves a ""no-compromise"" attitude. This style is useful in short-term situations, particularly if you won't see the other person again. However, it usually does not build long-term relationships. The collaborative style involves people working together to create an outcome that benefits both parties. A flexible negotiating style means a willingness to change and adapt while negotiatingâ€”these are not traits indicative of a ""nocompromise"" attitude. The accommodating style often involves people agreeing to something they don't really want. â€”KEY 7",Emotional Intelligence,3,medium
"During the staff meeting, Madeline said, â€œAlthough I don't have all of the information that I would like to have about the new system, I am confident that we will be able to work together and effectively handle any issues that we may encounter along the way.â€ What characteristic is Madeline demonstrating in this situation?",Self-control,Recognition of others' achievements,Tolerance for ambiguity,Personal vision,C,"Tolerance for ambiguity. Tolerance for ambiguity is the willingness to take action despite having incomplete information or lacking clear direction. In the situation provided, Madeline indicates that she doesn't have complete information but is confident that her staff will be able to handle unexpected problems after the system has been implemented. Madeline has a high level of tolerance for ambiguity because she is taking action without knowing what circumstances she may encounter along the way. Personal vision is the future you wish to create. Self-control is the ability to restrain your feelings, words, and actions. Madeline may have self-control and vision; however, there is not enough information provided to indicate that she is using self-control to manage difficult emotions or that she is implementing the new system to achieve her vision. Madeline indicates she has confidence in her staff's abilities to handle future issues rather than recognizing their past achievements.",Emotional Intelligence,3,hard
Hazel started her own childcare network where she connects families to available babysitters at her school. Hazel could be described as a(n),wholesaler.,direct salesperson.,entrepreneur.,franchiser.,C,"Entrepreneur. An entrepreneur is anyone who creates, launches, organizes, and manages a new business and takes on the risk of that business. Hazel is an entrepreneur because she created and launched a new childcare business where she is accountable for risk. A franchiser is the owner of a business who gives the rights to operate a branch of that business to someone else in exchange for a fee and profits. A wholesaler is a merchant who sells to other businesses for resale or business use. A direct salesperson is someone who sells a product directly to customers. https://www.investopedia.com/terms/e/entrepreneur.asp",Entrepreneurship,3,easy
Mike and Sue need a source of credit to finance the purchase of their first home. Which of the following sources of credit would best fit their need:,Sales finance companies,Credit unions,Savings and loan associations,Commercial banks,C,"Savings and loan associations. The majority of real-estate loans are handled by savings and loan associations. Commercial banks offer full-service banking, checking and savings accounts, secured and unsecured loans, installment credit, and bank credit cards. Credit unions provide credit and savings services to members, usually within a business or labor union. Sales finance companies purchase borrowers' contracts from sellers and receive the borrowers' payments.",Financial Analysis,4,easy
Which of the following is fiat money:,A $20 bill,A check,A credit card,Gold,A,"A $20 bill. Fiat money is money that has no intrinsic value. Instead, its value comes from government backing. Paper currency such as a $20 bill is an example of fiat money. A check is not fiat money because its value is not backed by the government. Gold has intrinsic value and is a commodity rather than fiat money. A credit card's value is also not backed by the government. notes, etc.) Retrieved August 15, 2022, from https://www.investopedia.com/ask/answers/041615/whatdifference-between-fiat-money-and-representative-money.asp?ad=dirN&qo â€”KEY 8",Financial Analysis,4,easy
"Each pay period, Kendra has her employer automatically deposit her paycheck into her checking account so the funds are available for use when she needs them. In this situation, money is functioning as a(n)",store of value.,medium of exchange.,form of cash.,unit of measure.,A,"Store of value. Money functions as a store of value when it is saved rather than spent. The money can be held over time, and it retains value for future purchasing power. Money serves as a unit of measure when it is used to express the value or worth of something. Money serves as a medium of exchange when it is used to obtain goods and services. Cash is a form of moneyâ€”currency and coins. Because Kendra's paycheck was automatically deposited in her bank account, currency and coins have not been touched. Tinley Park, IL: The Goodheart-Willcox Co.",Financial Analysis,4,medium
Lisa charges another sole proprietor to use the extra office in the building she owns. Which of the following is Lisa's source of income:,Interest,Rent,Dividends,Salary,B,"Rent. Income is the money resource owners receive for supplying goods and services. As a resource owner, Lisa is supplying office space and receiving rent payments from the sole proprietor, so she is receiving income. A salary is a form of income that is money payment for labor. A dividend is the sum of money paid to an investor or stockholder as earnings on an investment. Interest is the money payment for the use of borrowed money. from https://www.bankrate.com/investing/how-to-invest-in-real-estate/",Financial Analysis,4,easy
Broadcast advertising is an example of __________ media.,out-of-home,transit,promotional,direct mail,C,"Promotional. Promotional media are channels of communication used by businesses to deliver advertising messages to target groups of consumers. Broadcast media include radio and television, which use radio waves to reach consumers. Direct mail is a form of promotional media that comes to the consumers' homes in the form of letters, catalogs, postcards, and folders. Transit media is a form of out-of-home media found in various forms and locations of mass transportation. Out-of-home media is a form of promotional media to which we are exposed outside our homes, such as outdoor and transit media.",Promotion,4,medium
Balancing the business's objective to make a profit with the interests of all the business's stakeholders is a primary consideration related to the business's,creative processes.,financial ethics.,forecasting methods.,maintenance activities.,B,"Financial ethics. An important aspect of financial ethics is making sure the business makes a profit and serves the best interests of its stakeholders (e.g., employees, customers, investors). This would include honest communication, transparent financial reporting, and fair pricing practices. Creative processes, maintenance activities, and forecasting methods are important business considerations; however, these activities are not directly related to the business's profitability and the stakeholders' best interests. https://www.thebalancesmb.com/how-financial-ethics-and-profitability-are-connected-393247",Financial Analysis,4,medium
Which of the following phrases is most likely to be listed in an official job description:,â€œEdit company newsletterâ€,â€œHave 10-15 years' experienceâ€,â€œPossess an associate's degree or higherâ€,â€œAble to work closely with othersâ€,A,"â€œEdit company newsletter.â€ Editing the company newsletter is a task that would be listed in an official job description. A job description is an explanation of the specific responsibilities associated with a certain job. A job specification, on the other hand, is an explanation of the skills, knowledge, and characteristics required for a job. Having 10-15 years of experience, being able to work closely with others, and possessing an associate's degree or higher are all examples of what might be listed in a job specification. â€”KEY 9",Human Resources Management,4,easy
One reason why a business might gather marketing information is to,manipulate data.,remain competitive.,control customers.,eliminate risks.,B,"Remain competitive. Competition among businesses continues to increase. As a result, these businesses must have up-to-date marketing information to be competitive. They need to know how well the competition is doing, what competitors' prices are, how effective their promotional methods are, and what changes the competition is planning to make. Gathering marketing information helps reduce risk but cannot eliminate it. A business would not gather marketing information to control customers or manipulate data.",Information Management,4,easy
One of the advantages of obtaining and using marketing information is that it helps business managers to,train and direct employees.,prepare documents and reports.,review and understand regulations.,predict and control risks.,D,"Predict and control risks. Marketing information is all of the marketing-related data available from inside and outside the business. It includes information about past situations and what is happening now. By obtaining and using marketing information, business managers can predict the risks that might occur in the future and take steps to control those risks. For example, if current marketing information indicates that one product is losing popularity, a business can modify the product or repackage it to be more appealing. As a result, the business might avoid losing customers, which is a future risk. Managers often use marketing information to prepare documents and reports, but that is not an advantage of obtaining and using the information. Business managers do not obtain and use marketing information to train and direct employees, or to review and understand regulations. succeed? Retrieved August 15, 2022, from https://totempool.com/blog/marketing-informationmanagement/",Information Management,4,medium
"To handle customer complaints effectively, the first thing that employees should do is",take the customers' problems personally.,state the business's policies to prevent misunderstandings.,give the customers what they want to make them happy.,listen to the customers to understand their concerns.,D,"Listen to the customers to understand their concerns. The first thing an employee should do is to listen to the customer to try to determine the reason for the complaint. If employees fully understand their customers' complaints, they will be better able to solve the problem. Employees should express empathy, but they should not take customers' complaints as personal attacks against them. It is not always possible to give customers whatever they want to make them happy. In some situations, the business and the customer may need to compromise. Stating the business's policies before listening to the customers' complaints may frustrate the customers and make them angry.",Customer Relations,4,medium
"When Rebecca's research for her school project is complete, she's not quite sure what to do with her data. Her friend Allison suggests coding the data, and she decides to give it a try. Why should Rebecca use coding to organize her research findings?",It is the only method to interpret data in a meaningful way.,It prevents data entry mistakes such as omissions or duplications.,It saves time by eliminating the need to check the data for flaws and errors.,It turns large amounts of data into a form that is more easily understood.,D,"It turns large amounts of data into a form that is more easily understood. To make sense of large amounts of data, the data must be analyzed. Coding can be an extremely useful tool for data analysis by grouping and assigning value to various responses from the survey. While coding is one way to interpret data in a meaningful way, it is not the only way. Coding does not prevent data entry mistakes. In many cases, it is still humans who assign the coding system and manually enter codes into a computerâ€”there is always the possibility of human error. Data should always be checked for flaws at multiple points during the analysis. Coding should not be used as a replacement for error checking. https://home.csulb.edu/~msaintg/ppa696/696codes.htm 0",Information Management,5,easy
One of the goals of qualitative research is to answer questions about,how many.,why.,how to.,who.,B,"Why. Qualitative research is based on obtaining information about opinions and experiences. One of its goals is to answer questions about ""why,"" such as why do people buy the products they buy. As a result, qualitative research often involves more detailed interviewing of fewer numbers of people to obtain specific information that will answer the questions of ""why."" Quantitative research answers questions about ""how many."" Qualitative research does not answer questions about ""who"" or ""how to."" secondary research)",Information Management,5,easy
Which of the following activities helps managers make smart decisions regarding the problems and opportunities facing their businesses:,Conducting marketing research,Providing customer service,Advertising and sales promotion,Hiring new employees,A,"Conducting marketing research. Conducting marketing research helps managers make smart decisions and plan appropriate strategies regarding the problems and opportunities facing their businesses. Advertising and sales promotion, hiring new employees, and providing customer service are all important business activities, but they do not provide the information that managers need for decision-making.",Information Management,5,medium
A company wants to collect information from various sources to determine if it should consider expanding to international markets. What research method should the company use if it does not want to spend a lot of time or money to obtain the information?,Experimental,Exploratory,Interview,Causal,B,"Exploratory. Exploratory research involves collecting information to help the business define its issue, situation, or concern, and decide how to proceed with its research. Causal or conclusive research focuses on cause and effect and tests â€œwhat ifâ€ theories. Interviews are conversations in which a researcher surveys an individual to obtain research data. An experiment is a research method that tests â€œcause and effectâ€ by test marketing new products or comparing test groups with control groups. and causal) https://www.knowthis.com/planning-for-marketing-research/exploratory-market-research",Information Management,5,medium
Which of the following is a type of non-probability sampling design:,Systematic random sampling,Cluster sampling,Stratified random sampling,Judgment sampling,D,"Judgment sampling. Judgment sampling, also known as expert sampling, requires researchers to handpick respondents based on their knowledge or expertise. This is a type of non-probability sampling because it is not random. Cluster sampling, stratified random sampling, and systematic random sampling are all types of probability sampling.",Information Management,5,easy
What type of data-collection method is being used when a researcher conducts a focus group?,Telemarketing,Statistical,Interview,Probability,C,"Interview. The interview is a common method of collecting data from individuals. There are many types of interview procedures, and one is the focus group, which is a group formed for the purpose of discussing a specific topic. In a focus group, a moderator asks questions and guides the group discussion to obtain information about a specific topic, such as a product. Telemarketing involves contacting people by telephone. Probability is a type of sampling method of research. Statistics are often information presented in numerical form. discussion groups, interviews, scanners, tracking tools) August 15, 2022, from https://www.crayondata.com/3-effective-methods-of-data-collection-formarket-research/ 1",Information Management,5,medium
Which situation is an example of SUGGING?,A salesperson offers a customer the opportunity to try an expensive product free of charge.,A business promotes a product by sending samples to its customers without authorization.,"A marketer tells a customer that they are conducting research, and then begins a sales pitch.",A telemarketer asks a customer if they know anyone who would want to buy a certain product.,C,"A marketer tells a customer that they are conducting research, and then begins a sales pitch. SUGGING is an acronym for ""selling under the guise of research."" SUGGING is an unethical practice in which a marketer pretends to conduct research but, in fact, is really attempting to sell a good or service to a consumer. SUGGING is deceptive and rarely facilitates a long-term selling relationship. It also harms the integrity of the general marketing-research field because potential respondents who have been subjected to SUGGING are less likely to trust researchers and are likely to question their true motives. A telemarketer who asks a person if they know anyone who might buy a certain product is trying to obtain a referral. Sending samples to consumers is a promotional technique. A salesperson providing a customer the opportunity to try a product for a certain period of time is implementing a strategy to make a sale. https://www.mrs.org.uk/standards/suggingfaq",Information Management,5,easy
One reason that a business might conduct primary research rather than use secondary marketing information is because the,secondary information may be outdated.,primary information is always error-free.,primary information is less expensive to obtain.,secondary information is usually irrelevant.,A,"Secondary information may be outdated. Secondary information is information collected by others for purposes other than the project at hand. Though the secondary information may have been relevant at one time, it may be too old to reflect any changes that have occurred since it was collected. Therefore, the business might conduct its own research to obtain current results. Primary information is not always error-free and can be expensive to obtain. methods, sources of information, timeliness of information, etc.) August 15, 2022, from https://blog.marketresearch.com/not-all-market-research-data-is-equal",Information Management,5,easy
Which of the following marketing functions focuses on informing all current and potential customers about the business's products:,Marketing-information management,Promotion,Product/Service Management,Pricing,B,"Promotion. The promotion function focuses on informing customers about new products, improved products, new uses for existing products, and special values on products. Businesses use a variety of communication channels to inform customers about products including advertising and sales promotion. The marketinginformation management function focuses on gathering, accessing, synthesizing, evaluating, and disseminating information to aid business decision-making. The product/service management function focuses on obtaining, developing, maintaining, and improving a product mix in response to market opportunities. The pricing function focuses on determining and adjusting prices to maximize return and meet the customers' perceptions of value.",Marketing,5,easy
The owner of a business is meeting with the company's managers and supervisors to set objectives for the next year. This group is developing the company's,market share.,business goals.,channels of distribution.,promotional mix.,B,"Business goals. The goals or objectives of a business are the things the business wants to attain. A particular share of the industry market might be a business's goal. The promotional mix is the combination of marketing communication channels that a business uses to send its messages to consumers. Channels of distribution are the paths, or routes, that goods or services take from the producer to the ultimate consumer or industrial user.",Market Planning,5,medium
Marketers divide their markets by grouping customers according to their,similarities.,differences.,hobbies.,occupations.,A,Similarities. Marketers divide their markets by grouping customers according to their similaritiesâ€”not their differences. Customers may be similar in their occupations or hobbies. 2,Market Planning,6,easy
An international soft-drink company that wants to add bottled spring water to its product mix has determined there are four major brands that currently hold the majority of the market share for that product. The strengths and weaknesses of each potential competitor have been examined. This is an example of a(n),purpose and mission.,action plan.,marketing strategy.,situation analysis.,D,"Situation analysis. Information regarding competitors, their products, and their strengths and weaknesses is collected as part of an external environment analysis. This type of analysis is one aspect of the overall situation analysis. Gathering such information is not an example of marketing strategy, action plans, or purpose and mission. elements). Retrieved August 15, 2022, from https://www.indeed.com/career-advice/careerdevelopment/situational-analysis",Market Planning,6,hard
