Question,A,B,C,D,Correct,Explanation,Finance,Assessment,Difficulty
Which of the following scenarios best represents a tariff:,A country limits the number of products foreign nations can sell in its country.,A country's government determines the prices at which products can be sold.,A country makes illegal payments in an effort to secure products in return.,A country places taxes on imported products to increase their selling prices.,D,A country places taxes on imported products to increase their selling prices. A tariff (also known as a duty) is a tax on imported goods. A country limiting the number of products foreign nations can sell in its country is an example of a quotaâ€”a trade restriction that limits the quantity of goods that can move into or out of a country. A country's government determining the prices at which products can be sold is an example of a price controlâ€” government determination of product prices. A country making illegal payments in an effort to secure products in return is an example of briberyâ€”making illegal payments intended to secure business or products in return.,Economics,2,easy
Insurance companies are different than banks in that insurance companies,are part of a centralized clearing and payment system.,ensure customers pay regular premiums against certain risks.,are subject to federal and state oversight.,accept short-term deposits and make long-term loans.,B,"Ensure customers pay regular premiums against certain risks. Insurance companies ensure their customers against certain risks, such as a car accident or a house fire. Customers pay regular premiums to insurance companies to protect them from these risks. Banks take deposits and pay interest for their use and then lend money to borrowers. Banks accept short-term deposits and make long-term loans. Banks are subject to federal and state oversight, whereas insurance companies are subject to only state-level regulation. Banks are part of a centralized clearing and payment system, while insurance companies are not. December 7, 2023, from https://www.investopedia.com/articles/personal-finance/070715/insurancecompanies-vs-banks-separate-and-not-equal.asp",Financial Analysis,2,easy
Kofi is currently working on a report that provides an overview of his company's fiscal year. What type of report is Kofi most likely to be preparing?,10-K,8-K,20-G,10-Q,A,"10-K. A 10-K report, also known as an annual report, gives an overview of a company's fiscal year and includes financial information along with insight into the company's leadership, mission, and culture. A 10-Q report, also called a quarterly report, provides content about a company's fiscal quarter. An 8-K report, also called a current events report, provides current information to investors after an event affects the company. A 20-G report is a fictitious term. 2023, from https://www.thebalancemoney.com/top-best-sources-of-investor-information-1979207",Financial Analysis,2,medium
Which of the following statements best represents a technical analysis:,It uses statistical trends gathered from trading activity.,It uses ratios gathered from data in financial statements.,It helps analysts to arrive at an intrinsic value for the security.,It analyzes a securityâ€™s fundamental attributes rather than looking for patterns.,A,"It uses statistical trends gathered from trading activity. The two types of financial analysis are fundamental analysis and technical analysis. A technical analysis is a process using historical information from market activity, prices, and volume to evaluate securities and predict future price activity. A technical analysis uses statistical trends gathered from trading activity and looks for patterns to understand the market of a security, rather than analyzing a securityâ€™s fundamental attributes. A fundamental analysis uses ratios gathered from data in financial statements to determine a business's value. In addition to a thorough review of the company's economic and financial situations, a fundamental analysis can help analysts arrive at an intrinsic value for the security. Retrieved December 27, 2023, from https://www.investopedia.com/terms/f/financial-analysis.asp",Financial Management,2,medium
A loan officer would be an example of a career in,insurance.,accounting.,corporate finance.,banking services.,D,"Banking services. There are many jobs to be had within banking, one of which is a loan officer. A loan officer is a person who specializes in finding clients and helping them to apply for loans, such as commercial, consumer, or mortgage. Loan officers do not work in accounting, insurance, or corporate finance.",Professional Development,2,easy
"In the equity market, investors and traders buy and sell",loans.,stocks.,bonds.,credit.,B,"Stocks. The equity market, also known as the stock market, is where investors and traders sell shares of stock. The debt market, also known as the bond market, is where investors and traders buy and sell bonds and loans. Loans are a type of creditâ€”the arrangement by which businesses or individuals can purchase now and pay later. commodities markets, etc.) Retrieved December 8, 2023, from https://www.investopedia.com/ask/answers/071415/what-aredifferences-between-debt-and-equity-markets.asp",Financial Analysis,2,easy
A companyâ€™s compliance department is designing and implementing controls to protect the company from risks it has identified. What key function is the compliance department performing?,Advisory,Identification,Resolution,Prevention,D,"Prevention. The five key functions of a compliance department are identification, prevention, monitoring and detection, resolution, and advisory. The prevention function designs and implements controls to protect a company from risks. Those risks are identified in the identification function. The resolution function resolves compliance difficulties as they occur. The advisory function advises the company on rules and controls. from https://www.int-comp.org/learn-and-develop/subject-areas/career-pages-governance-risk-andcompliance",Business Law,3,hard
Financial accounting is different than managerial accounting in that financial accounting,looks at the future.,prepares data for external users.,determines and measures cost.,deals with financial statements.,B,"Prepares data for external users. Financial accounting is a type of accounting that involves preparing and reporting financial data to external users who are not directly involved in business operations. Managerial accounting is a type of accounting that involves preparing and reporting financial data to internal users, usually managers, who need financial information to control day-to-day operations and to make financial decisions and plans affecting the business. Both financial and managerial accounting determine and measure cost and deal with financial statements. Financial accounting looks at the past while analyzing financial information, whereas managerial accounting looks at the future by examining financial information to make forecasts. difference? Retrieved December 11, 2023, from https://bau.edu/blog/financial-accounting-vsmanagerial-accounting",Financial Analysis,3,hard
Which of the following is typically the most important part of following the chain of command:,Bypassing your boss when they are too busy to help,Always doing what your manager asks of you,Waiting to learn about the entire chain of command,Reporting to the person directly above you,D,"Reporting to the person directly above you. One of the most important parts of following the chain of command is to report to the person directly above you. Once you have identified the individual directly above you in the chain of command, report to them whenever you have a question, concern, or idea. Your direct supervisor should be the person that you interact with the most on a daily basis. Unless your manager asks you to do something unethical or illegal, you should do what they say. Even if your boss is too busy to offer you immediate help, you should not bypass them on the chain of command. One of the first things you should do when you are hired is figure out your companyâ€™s organizational structure and chain of command.",Professional Development,3,easy
Insufficient corporate governance may lead to,increased accountability.,decreased transparency.,decreased corruption.,increased investor confidence.,B,"Decreased transparency. Corporate governance creates a more transparent business environment, which can increase investor confidence and minimize corruption. When corporate governance is insufficient, corruption can increase and investor confidence can decrease. Corporate governance keeps any one person from having too much control, therefore insufficient corporate governance reduces accountability within the organization. examples. Retrieved December 20, 2023, from https://www.investopedia.com/terms/c/corporategovernance.asp",Professional Development,3,medium
Lean Six Sigma is different than Six Sigma in that Lean Six Sigma,doesn't focus on waste reduction.,prioritizes defect detection over prevention.,is not fact-based or data-driven.,aims to reduce variation and waste.,D,"Aims to reduce variation and waste. Lean refers to a quality-control method that focuses on maximizing customer value while minimizing waste, whereas Six Sigma is a popular quality-management methodology that relies on a five-step approach to improve any business process by reducing process variation and enhancing process control. Therefore, Lean Six Sigma is a fact-based, data-driven philosophy of improvement that aims to reduce waste and variation. Lean Six Sigma prioritizes defect prevention over defect detection. activity-based costing [ABC], six sigma) from https://asq.org/quality-resources/six-sigma",Financial Management,3,easy
Transcend Industries requires employees to scan their ID badges to access company buildings. This is an example of a __________ policy.,discrimination/harassment,health and safety,leave,disciplinary,B,"Health and safety. Health and safety policies are designed to protect employees and customers from harm. Common health and safety guidelines include requiring employees to scan ID badges to access company buildings, display â€œwet floorâ€ signs when necessary, and use the handrails on staircases. A disciplinary policy outlines how employees will be punished for breaking company rules. Leave policies describe how many days of paid and unpaid leave employees are entitled to. Policies regarding discrimination and harassment are intended to keep employees and customers safe from inappropriate and hurtful behavior. Requiring employees to scan their ID badges is not a disciplinary, leave, or discrimination/harassment policy.",Professional Development,3,medium
"Two different financial institutions merge to become one company, combining their assets and liabilities in the process. This is an example of",bancassurance.,financing.,consolidation.,inflation.,C,"Consolidation. Consolidation refers to combining assets, liabilities, and other financial items (such as financial statements) of two or more entities into one. It also refers to the union of smaller companies into larger companies through acquisitions or mergers. Bancassurance is an arrangement between an insurance company and a bank where the insurer can sell its products to bank customers. Financing is funding a business activity or project through debt, equity, or venture capital. Inflation refers to the rise in prices that may occur when demand exceeds supply or when productivity declines and costs of labor go up. December 8, 2023, from https://www.investopedia.com/terms/c/consolidate.asp",Financial Analysis,3,medium
"Keoniâ€™s phone keeps vibrating, which prevents him from listening closely. This is an example of",an environmental distraction.,active listening.,an internal distraction.,paraphrasing.,A,"An environmental distraction. Environmental distractions are aspects of the setting that divert the listenerâ€™s attention away from the speakerâ€™s message. Common environmental distractions include noises from physical objects such as phones, TVs, computers, etc. Internal distractions are concerns, thoughts, or worries on the part of the listener that take away from their ability to attend to the speakerâ€™s message. Paraphrasing is restating the speakerâ€™s message using your own words. Active listening uses nonverbal cues, paraphrasing, questioning, and other techniques to let a speaker know that a message has been heard and understood.",Communication Skills,3,easy
Greenery House uses extra cash to pay off a commercial lawnmower loan ahead of schedule. This is an example of using financial information to,create budgets.,manage debt.,increase sales.,acquire new businesses.,B,"Manage debt. Knowing how to keep a business running smoothly is the most important use of financial information. Paying off a loan early is one way a business can manage its debt. Analyzing financial information helps businesses understand the different ways debt can be managed. While businesses can use financial information to accomplish a variety of tasks, Greenery House is not using the information to create budgets, increase sales, or acquire new businesses.",Financial Analysis,3,medium
"When developing each new budget, Breaâ€™s Bagels requires managers to demonstrate the need for every expense instead of relying on figures from a previous period. Breaâ€™s Bagels uses __________ budgeting.",inflation,short-term,master,zero-based,D,"Zero-based. Zero-based budgeting requires managers to demonstrate the need for every expense instead of relying on figures from a previous period. In effect, each new budget begins at zero. A master budget is made up of information from specialized budgets that are generated by individual departments. To determine specific dollar amounts for budgets, some companies might use the previous budget with an across-the-board percentage increase based on inflationâ€”however, inflation budgeting is a fictitious term. Businesses use both short- and long-term budgets, but in this example, Breaâ€™s Bagels is not using short-term budgeting.",Financial Analysis,3,hard
Which of the following is an example of ethical risk management:,Reviewing invoices,Having a strong legal team,Asking for a raise,Ensuring product safety,D,"Ensuring product safety. Companies need to consider the ethics of product safety. Many products carry the risk of harming or injuring customersâ€”therefore companies must practice ethical risk management by protecting the customer as much as possible. Asking for a raise and reviewing invoices are normal business practices, but they are not necessarily related to risk management. Having a strong legal team is a risk management practice but is not necessarily ethical because a strong legal team does not always act in the best interest of customers.",Risk Management,4,medium
"The SOSWYM Company is excellent at financial recordkeeping, as it allows the company to see which of its items are selling and helps with decision-making. This is an example of how good recordkeeping can help",keep track of deductible expenses.,prepare tax returns.,monitor the progress of a business.,prepare financial statements.,C,"Monitor the progress of a business. Keeping good records is very important to companies, as it will help them monitor the progress of their business, prepare financial statements and tax returns, identify sources of income, keep track of deductible expenses, and more. Just like with the SOSWYM Company in this scenario, good recordkeeping can help with monitoring the progress of a business, as it can show whether a business is improving, which items are selling, or what changes need to be made. This is not an example of how good recordkeeping can help prepare financial statements or tax returns or keep track of deductible expenses. 2023, from https://www.irs.gov/businesses/small-businesses-self-employed/why-should-i-keeprecords",Financial Management,4,hard
Trying to balance friendships with extracurricular activities is an example of a __________ risk.,financial,relationship,reputational,health and safety,B,"Relationship. Relationship risks are the risks that come with your choice of friends and their impact on you. Balancing friendships with extracurricular activities is a relationship risk because that decision has a direct impact on your friends and could put those relationships at risk. There is no indication that this is an example of a health and safety risk or financial risk. While this kind of decision could affect your reputation, the example better exemplifies a relationship risk because it directly impacts friendships.",Emotional Intelligence,4,hard
Waldo wants to purchase a new truck. What type of credit should he use?,Installment,Regular,Budget,Revolving,A,"Installment. Installment credit is designed to handle one total amount of credit, which is paid in installments within a certain time period. Installment credit is commonly used to purchase large, expensive items such as furniture or cars. Regular credit accounts are used to obtain small-ticket items during a set period of time, usually 30 days. Budget credit accounts advertise credit terms such as â€œ90 days same as cash.â€ Revolving credit accounts involve setting a credit limit and paying the amount due each month or making minimum, monthly payments on the account.",Financial Analysis,4,easy
Employees in leadership positions should make management decisions based on their companyâ€™s,insurance policy.,foreign investments.,governance processes.,target demographic.,C,"Governance processes. Governance provides a framework for decision-making and management. Managers must work within the guidelines and processes established by the governing body. While a companyâ€™s target demographic, foreign investments, and insurance policies are important, they should not greatly influence management decisions within the company. functions examples. Retrieved December 20, 2023, from https://www.investopedia.com/terms/c/corporategovernance.asp",Professional Development,4,medium
Businesses can obtain __________ insurance to limit their exposure in situations where they are held legally responsible.,renterâ€™s,disability,liability,life,C,"Liability. Professional liability insurance is a type of insurance that provides financial protection for certain types of professionals, such as doctors, nurses, lawyers, architects, and accountants. The purpose of the insurance is to reduce the risk of financial loss to the individual and to the company for whom they work if a client or patient sues them. The purpose of disability insurance is to cover people who cannot work for long periods of time due to illness or injury. Renterâ€™s insurance is a type of property insurance that covers the policyholderâ€™s belongings without covering their physical household or dwelling. Life insurance is a type of insurance that offers a beneficiary compensation upon the death of the policyholder. https://www.investopedia.com/terms/l/liability_insurance.asp",Risk Management,4,hard
Which of the following best represents the recession phase of a business cycle:,Income and sales fall.,Employment falls and income rises.,Employment and production rise.,Sales fall and production rises.,A,"Income and sales fall. Business cycles refer to periods of expansion and contraction (or recession) in economic activities. A recession is a state of economic decline in which income, sales, employment, and production each fall. The recovery phase of a business cycle sees sustained economic expansion that typically results in a rise in income, sales, employment, and production. December 11, 2023, from https://www.investopedia.com/terms/b/businesscycle.asp",Financial Analysis,4,easy
"Before Kirk's loan application is approved, the bank is likely to analyze his",medical history.,debt ratio.,inflation rate.,political affiliation.,B,"Debt ratio. The debt ratio refers to a financial ratio that indicates a company's or individual's level of debt in relation to their assets, expressed as a decimal or percentage. If the applicant has a high level of outstanding debt and few liquid assets, the applicant is more likely to default on the loan. The bank may consider the economy's inflation rate in relation to Kirk's debt ratio when evaluating the loan application. The bank will likely not consider Kirk's political affiliation or medical history. https://www.investopedia.com/terms/d/debtratio.asp",Financial Management,4,easy
"Bianca's $4,000 investment is held in her savings account with 5% simple interest paid annually for three years.","$4,410.00","$3,792.89","$3,455.35","$4,630.50",D,"$4,630.50. Future value (FV) is the value of a current asset at some point in the future due to assumed growth from accumulated interest and potential cash flows. The FV of Bianca's $4,000 investment in this scenario is $4,630.50. The formula for calculating future value is FV = Investment amount x (1 + interest rate) ^ number of years. In this scenario, the investment amount is $4,000, the interest rate is 5% (or .05), and the number of years is 3. When plugging in the information from this scenario, the formula is: FV = $4,000 x (1 + .05) ^ 3 = $4,630.50. Retrieved December 14, 2023, from https://www.investopedia.com/terms/f/futurevalue.asp 0",Financial Analysis,4,medium
Which of the following is a way in which activity-based costing enhances the costing process:,It accumulates all costs in one company-wide pool.,It transfers overhead costs from low-volume products to high-volume products.,It assigns overhead and direct costs to related products and services.,It expands the number of cost pools used to assemble overhead costs.,D,"It expands the number of cost pools used to assemble overhead costs. Activity-based costing (ABC) is a costing method that assigns overhead and indirect costs to related products and services. Essentially, ABC first assigns costs to activities that are the real cause of overhead and then assigns costs of those activities only to the products or services that actually demand the activities. One way in which ABC enhances the costing process is by expanding the number of cost pools used to assemble overhead costs. Rather than accumulating all costs in one company-wide pool, it pools costs by activity. ABC transfers overhead costs from high-volume products to low-volume products, thus raising the unit cost of low-volume products. activity-based costing [ABC], six sigma) with example. Retrieved December 28, 2023, from https://www.investopedia.com/terms/a/abc.asp",Financial Management,4,easy
Which corporations can sell unlimited shares of stock to the general public?,Private corporations,Nonprofit corporations,C corporations,S corporations,C,"C corporations. C corporations can sell unlimited shares of stock to the general publicâ€”meaning there may be unlimited stockholders in just one company. To qualify as an S corporation, a company must have 100 or fewer shareholders. A nonprofit corporation cannot issue shares of stock. Private corporations do not offer shares for sale to the general public.",Business Law,5,easy
"Scott, a financial analyst, wants to determine whether a company has substantial short-term assets to cover its immediate liabilities without selling inventory. What liquidity ratio should he use?",Current,Cash,Days sales outstanding,Acid-test,D,"Acid-test. An acid-test ratio determines whether a company has substantial short-term assets to cover its immediate liabilities without selling inventory. It does so by measuring the company's ability to meet its shortterm obligations with its most liquid assets. The ratio therefore excludes inventories from its current assets, as inventory may not be converted to cash quickly. A current ratio measures a company's ability to meet current liabilities out of current assets. A cash ratio removes many current assets when considering a business's ability to meet its short-term goals, as it only looks at assets that are already liquid. A days sales outstanding ratio refers to the average number of days it takes a company to collect payment after making a sale. Retrieved December 27, 2023, from https://www.investopedia.com/terms/l/liquidityratios.asp",Financial Management,5,hard
Cutting costs to boost profitability may result in,higher product quality.,fewer employee layoffs.,a drop in employee morale.,an increase in productivity.,C,"A drop in employee morale. One of the simplest ways to maximize profits is to minimize expenses. If a business can make the same amount in sales but spend less money doing it, it will have more money in hand to either pay its owners, or shareholders, or reinvest back into the company. While cutting costs may boost profitability, it can have some negative effects, such as employee layoffs; a drop in employee morale, productivity, and efficiency; reduced employee wages or benefits; and reduced product quality. Fewer employee layoffs, an increase in productivity, and higher product quality are not typical results of a business cutting costs to boost profitability. 1",Operations,5,easy
Abeytu sent requests for price quotes to seven different chemical companies and is waiting to review the suppliersâ€™ proposed prices before making a selection. Abeytu is conducting,negotiations.,blanket ordering.,competitive bidding.,forecasts.,C,"Competitive bidding. Abeytu is conducting competitive bidding, which involves sending out a request for bids, reviewing proposed prices (bids), and selecting the best supplier for the job, based on cost or overall terms. Negotiating is the process of one party reaching an agreement with another party to meet specific needs or wants. To forecast means to predict something, such as sales or trends. A blanket purchase order is a special kind of purchase order normally used only for fairly inexpensive goods or services the business uses regularly. Abeytu is not forecasting, blanket ordering, or negotiating in this scenario.",Operations,5,medium
Which of the following statements about incremental analysis is true:,It is not applicable to short-run decisions.,It is particularly suited to long-run decisions.,It assesses the impact of large changes.,It is used to assist decision-making.,D,"It is used to assist decision-making. Incremental analysis is a technique used to assist decision-making by assessing the impact of small changes. It is also commonly described as a way to assist decisions at the margin. Incremental analysis is applicable to both short- and long-run decisions. However, it is particularly suited to short-run decisions. https://www.smartcapitalmind.com/what-is-incremental-analysis.htm",Financial Analysis,5,medium
Which of the following is an example of a direct cost a business pays:,Office supplies,Marketing costs,Production equipment,Utilities,C,"Production equipment. Direct costs are expenses that can be directly linked to a specific item, service, project, or expense category. Examples of direct costs include production equipment, labor, and materials. Indirect costs are expenses that cannot be directly linked to a specific product or service. Examples of indirect costs include utilities, office supplies, payroll, marketing and advertising costs, and rent. 15, 2023, from https://www.indeed.com/career-advice/career-development/direct-vs-indirect-costs",Financial Analysis,5,easy
Ashley prepares a budget that serves as a request for the purchase of a property. This best describes what type of budget?,Operating,Promotional,Capital,Cash,C,"Capital. A capital budget typically is a request for purchases of large assets (such as property, equipment, or IT systems) that create major demands on a company's cash flow. Capital budgets are often used to allocate funds, set priorities, and control risks in decision-making. Because Ashley prepares a budget that serves as a request for the purchase of a property, this scenario is an example of a capital budget. An operating budget details the revenues and expenses associated with day-to-day operations and divides them into major categories (such as revenues, salaries, and benefits). A cash budget ties capital and operating budgets together and accounts for the timing of both payments and receipt of cash from revenues. Cash budgets help businesses manage their cash flow effectively by assessing whether additional capital is required, if there is excess capital, or whether the company needs to raise more money. A promotional budget refers to the amount of money a business plans to spend on promoting its goods and services during a certain period of time. https://corporatefinanceinstitute.com/resources/fpa/budgeting 2",Financial Management,5,medium
Which of the following is a way in which a central data repository for financial information can benefit a company:,It is only useful for tech-savvy employees.,It houses data across several locations.,It complicates the onboarding process.,It helps ensure data accuracy.,D,"It helps ensure data accuracy. Central data repositories allow for businesses to store their information and data from different sources in a logical, organized way. Data repositories help ensure data accuracy by helping businesses avoid data duplication, eliminate inconsistencies in data, and circumvent other problems. Data repositories store data in one, centralized location. Central data repositories are useful for everyone, no matter how tech-savvy one is, as they allow team members to navigate data with ease. Data repositories do not complicate the onboarding process; rather, they make it easier for new team members to understand a businessâ€™s organizational structure and find the data they need. 20, 2023, from https://www.secoda.co/blog/what-are-the-benefits-of-a-data-repository",Financial Management,5,medium
Which of the following statements about retained earnings is true:,They are profits a business decides to keep.,They are profits a business distributes among shareholders.,They are profits a business has before paying its costs.,They are profits not typically used for business reinvestment.,A,"They are profits a business decides to keep. Retained earnings are any profits that a business decides to keep after paying all its direct and indirect costs, income taxes, and dividends to shareholders. Businesses typically use retained earnings for business reinvestment, rather than distributing them among shareholders in the form of dividends. https://www.thebalancemoney.com/what-are-retained-earnings-393324",Financial Analysis,5,easy
Which of the following best describes customer relationship management (CRM) software:,It looks to offer better customer service and avoid cross-selling products.,It helps businesses to prioritize repeat customers over new customers.,It is used to establish better relationships with top customers.,It aims to maximize the short-term value of customer relationships.,C,"It is used to establish better relationships with top customers. Customer relationship management (CRM) refers to the strategies, processes, technology, and people a business uses to build, maintain, and maximize the longterm value of customer relationships. CRM software provides businesses with information about their customers and is used to establish better relationships with top customers. CRM software can help businesses increase revenues by retaining existing/repeat customers and discovering new ones, rather than prioritizing one over the other. CRM software looks to provide better customer service, help a sales staff close deals faster, and crosssell products more effectively. data. Retrieved December 4, 2023, from https://www.cio.com/article/272365/customer-relationshipmanagement-crm-definition-and-solutions.html",Customer Relations,5,medium
Which of the following has a direct effect on an organizationâ€™s corporate governance policies:,Company bylaws,Physical inventory,Marketing strategies,Point-of-sales quotas,A,"Company bylaws. Company bylaws are a set of high-level rules and guidelines that govern how a company will operate. Corporate governance can be greatly impacted by company bylaws because bylaws represent the specific rules and policies that comprise an organizationâ€™s corporate governance policy. A marketing strategy is a plan of action for achieving marketing goals and objectives. Point-of-sales quotas are a type of sales-volume quota in which salespeople receive a number of points for each dollar or product sold. Physical inventory is the actual count of items of stock for a business. December 21, 2023, from https://www.wolterskluwer.com/en/expert-insights/everything-you-need-toknow-about-company-bylaws 3",Professional Development,6,medium
Lianne only invests in domestic stocks and has never invested in international stocks. This is an example of,globalization.,liberalization.,overvalued stock.,home bias.,D,"Home bias. Home bias refers to an investor's preference to invest primarily in domestic equities instead of diversifying into foreign or international equities. Because Lianne only invests in domestic stocks and has never invested in international stocks, this is an example of home bias. Globalization is the rapid and unimpeded flow of capital, labor, and ideas across national borders. Liberalization is the loosening of restrictions on something, oftentimes an economic or political system. Overvalued stock is a stock that is priced higher than the company's perceived intrinsic value. December 11, 2023, from https://www.investopedia.com/terms/h/homebias.asp",Financial Analysis,6,easy
"A company is searching for troublesome patterns of events in their financial data, such as abnormalities and duplicate data entries. What compliance technology reasoning process is the company utilizing?",Comparative,Temporal,Cross-source,Symbolic,D,"Symbolic. Symbolic reasoning searches for problematic patterns of events in financial data, such as abnormalities, duplicate data entries, incomplete information, etc. Temporal reasoning deals with the timing of transactions to determine inconsistencies. Cross-source reasoning compares and analyzes several financial transactions to ensure they are consistent. Comparative reasoning simply compares two things that are similar but not alike. December 1, 2023, from https://reciprocity.com/how-technology-helps-you-better-managecompliance",Business Law,6,hard
Benford's law typically applies to data that fit specific guidelines. Which of the following is one of those guidelines:,Data must be measured rather than assigned.,Smaller datasets are better than larger datasets.,All data must be qualitative.,Data should be restricted by minimums or maximums.,A,"Data must be measured rather than assigned. Benford's Law states that the leading digit (or most commonly occurring digit) in a dataset is likely to be small. Benford's law typically applies to data that fit specific guidelines, including that data must be measured rather than assigned. This is because Benford's law often does not apply to assigned numbers, such as ID numbers, phone numbers, or zip codes. Other guidelines are that data should not be restricted by minimums or maximums, data must be quantitative rather than qualitative, and larger datasets are better than smaller datasets. https://statisticsbyjim.com/probability/benfords-law",Information Management,6,medium
Employees in the finance industry can become members of a local __________ to build long-lasting relationships in their career field.,recreational sports team,credit union,professional association,political party,C,"Professional association. Active participation in a professional organization specific to the finance industry affords finance professionals the opportunity to serve on committees, hold offices, and attend seminars with other local finance professionals. This involvement may result in long-term professional relationships for the participants. Credit unions are institutions that provide savings and loan servicesâ€”joining a credit union makes that person a part-owner, but it does not necessarily build relationships with other finance professionals. Joining a political party or sports team may help build relationships with like-minded individuals but not necessarily those in the same career field. from https://us.aicpa.org/interestareas/youngcpanetwork/resources/career/3reasonstogetinvolved inprofessionalorganizations 4",Professional Development,6,medium
Enterprise risk management goes beyond traditional risk management by addressing,accounting discrepancies.,each risk one-by-one.,issues within specific departments.,non-insurable risks.,D,"Non-insurable risks. Within traditional risk management, an organization only looks at things that are insurable. Enterprise risk management (ERM) goes beyond insurable risks and addresses hazards that cannot be mitigated through insurance. Examples include data risks and reputational risks. Addressing accounting discrepancies is a more specialized task that would be the responsibility of the financial department. While ERM can address issues within specific departments, this is also a task performed by traditional risk management. Enterprise risk management also manages issues that span the entire organization. Because ERM is a more comprehensive and proactive approach to risk management, it does not have to address issues one-by-one. traditional risk management. Retrieved January 2, 2024, from https://strategicdecisionsolutions.com/traditional-risk-management-erm-differences/",Risk Management,6,hard
Which of the following is an example of a post-sale touchpoint:,Customer satisfaction survey,Publicity,Word-of-mouth marketing,Product packaging,A,"Customer satisfaction survey. A touchpoint is any interaction between a business and a customer or potential customer. Post-sale touchpoints give a business the opportunity to truly deliver on its brand promise. Common post-sale touchpoints include follow-up, shipping/delivery, warranties/rebates, and customer loyalty programs. Word-of-mouth marketing and publicity are touchpoints that occur before a customer does business with a company. A productâ€™s packaging is a touchpoint that takes place while doing business with a company.",Customer Relations,6,easy
"Checking the validity, reliability, and significance of data and using graphs, charts, and tables to display this data describes what step of interpreting data mining results?",Choose and apply data mining techniques,Define goals and metrics,Analyze and visualize results,Explore and preprocess data,C,"Analyze and visualize results. Data mining refers to the process of sorting through large raw data sets to identify patterns, relationships, and useful information. When interpreting data mining results, you should start by defining goals and metrics, followed by exploring and preprocessing data. The next step is to choose and apply data mining techniques. Then, once data mining techniques have been applied to your data, you will analyze and visualize your results. This is done by checking the validity, reliability, and significance of data, and by using graphs, charts, tables, or maps to display findings in a clear way. The final step of interpreting data mining results is to communicate and act on your results. https://www.linkedin.com/advice/0/how-do-you-interpret-data-mining-results-skills-data-analysis",Customer Relations,6,medium
Mikel is responsible for interpreting financial information and systems design for his company. What type of career does he likely work in?,Banking services,Securities and investments,Insurance,Accounting,D,"Accounting. One simple way of describing accountants is that they examine and prepare financial records. This involves activities like bookkeeping, systems design, analysis, and interpretation of accounting information. Although careers in insurance, securities and investments, and banking services careers may involve financial records, interpreting them is not the main duty as it is in accounting careers. 5",Professional Development,6,hard
Which of the following is a way in which businesses can effectively safeguard important financial information:,Maintaining security software,Using public Wi-Fi networks,Avoiding regular updates to devices,Using simple passwords,A,"Maintaining security software. There are many ways businesses can effectively safeguard important financial information. One of the best ways to do so is to maintain security software, meaning that all internet-enabled devices should be equipped with strong, updated security software that regularly checks for harmful activity with the use of firewalls, antivirus protection, and more. Companies should regularly update their devices and security software. Companies should encourage employees to use strong, complex passwords rather than simple passwords. Companies should use private Wi-Fi networks when possible. But if they need to use public networks, they should never allow for personal or financial information to be shared. December 20, 2023, from https://creativeplanning.com/insights/financial-planning/8-tips-for-keepingyour-financial-information-secure",Financial Management,6,hard
Giannaâ€™s personal circle of friends is her,family.,reference group.,membership group.,subculture.,C,"Membership group. Giannaâ€™s personal circle of friends is a membership group, a social group she belongs to. Membership groups can have a strong influence on consumer buying behavior. A reference group is a group youâ€™re not a part of (you might want to be a part of it or want to avoid being a part of it). A subculture is a culture within a culture that is usually defined by ethnicity, religion, geographic region, etc. Giannaâ€™s personal circle of friends is not necessarily her family.",Marketing,7,easy
Which of the following statements about a statement of owner's equity is true:,It is another name for a cash flow statement.,It shows only the beginning owner's equity.,It is prepared before an income statement.,It shows items affecting owner's equity during a period.,D,"It shows items affecting owner's equity during a period. A statement of owner's equity shows the beginning and the ending owner's equity balances, as well as items affecting owner's equity during a period of time. A statement of owner's equity is prepared after the income statementâ€”a financial summary that shows how much money the business has made or has lost over a period of time. A statement of owner's equity is not the same as a cash flow statement. A cash flow statement is a financial summary with estimates as to when, where, and how much money will flow into and out of a business. https://www.cliffsnotes.com/study-guides/accounting/accounting-principles-i/principles-ofaccounting/understanding-financial-statements",Financial Analysis,7,medium
"To manage her project resource needs, Neveah used a digital system that made accurate estimates based on algorithms. Which of the following tactics did Neveah use to estimate project resources:",Bottom-up estimating,Group decision-making techniques,Three-point estimating,Project management software 0,D,"Project management software. If it is available to you, project management software can be extremely helpful in managing resources. The software can take all of your information and make accurate estimates based on algorithms. This type of software can help your estimates to be more accurate and save you time; however, it is often expensive and not readily available. Group decision-making techniques involve working with others as a team to improve the accuracy of estimates. Bottom-up estimating is a method of estimating resources by adding up estimates for smaller components of the project. Three-point estimating considers the ways uncertainty and risk can affect estimates. 6",Operations,7,hard
